,user_location,date,text,hashtags,source
47,"New York, NY",2022-08-22 15:07:51+00:00,"RT @demauricesmith: Great article on my friend, Mark. The work that you, along with @GENYOUthNow and #TasteoftheNFL, continue to do in the…",['TasteoftheNFL'],Twitter Web App
48,"New Delhi, India",2022-08-22 14:30:00+00:00,"Acute #foodinsecurity and undernourishment have become more prevalent in recent times, and the imperative is to build more robust and #sustainable food systems that do not adversely impact the environment, say @shoba_suri &amp; @DrSubhasree https://t.co/SJ3ReURwME https://t.co/Fv9irHeA74",['foodinsecurity'],TweetDeck
49,Calgary,2022-08-22 13:59:42+00:00,RT @proofcanada: From our report: #Alberta had highest rate of #FoodInsecurity among provinces at 20% &amp; highest rate of severe food insecur…,"['Alberta', 'FoodInsecurity']",Twitter for iPhone
50,Canada,2022-08-22 13:53:50+00:00,"In 2021, 15% of households in #PEI experienced some level of #FoodInsecurity. Recent improvements to public income supports may be behind lower rates in last few years but it hasn't been nearly enough to ensure all Islanders can make ends meet. (1/4) https://t.co/QdsMzf6rbV","['PEI', 'FoodInsecurity']",Twitter Web App
51,Jl. Tamblingan 53 Sanur Bali,2022-08-22 13:32:47+00:00,"RT @foodbanking: Food banks serve their communities every day and we’re honored to support this critical work.

In 2021, @Foodbanking membe…",,Twitter for iPhone
52,"Lawrence and Danvers, MA",2022-08-22 13:28:31+00:00,RT @Gr8BosFoodBank: #FoodInsecurity continues to impact MA &amp; the need for food assistance is still at historic levels. Help us #DriveOutHun…,['FoodInsecurity'],Twitter Web App
53,"70 South Bay Ave. Boston, MA",2022-08-22 13:28:01+00:00,"#FoodInsecurity continues to impact MA &amp; the need for food assistance is still at historic levels. Help us #DriveOutHunger alongside @The_BMC &amp; @CitizensBank w/ a #StopHungerNow license plate, which supports programs to provide healthy meals.
Preorder at: https://t.co/oEdZMijZkX. https://t.co/9JYR1T89qX",['FoodInsecurity'],Sprout Social
54,Cairo,2022-08-22 13:16:14+00:00,"7.3 million severely #food #insecure people in #Egypt who may not eat today: @FAO
@FAOEgypt @FAOarabic 
#foodinsecurity #agriculture 
Photo by me https://t.co/LDCtDwCIES","['food', 'insecure', 'Egypt']",Twitter Web App
55,"Windsor, Ontario, Canada",2022-08-22 12:46:29+00:00,"RT @JohnClke: https://t.co/1A4W4C2raN
'Over 50 million people in #EastAfrica will face acute #foodinsecurity this year.' The fact that this…","['EastAfrica', 'foodinsecurity']",Twitter for Android
56,"New Delhi, India",2022-08-22 12:39:06+00:00,RT @JFledderjohann1: Excited to share the latest in the @Food_Equity Expert Interview Series! It was my privilege to speak w/@weareraman ab…,,Twitter for Android
57,"Red Bank, NJ",2022-08-22 12:21:35+00:00,"Thank you very much to the one and only Jon Stewart for all of his assistance and throwing out the first pitch at Lunch Break’s Annual Picnic, Backpack Giveaway, and Softball Tournament!

 #community #foodinsecurity #housinginsecurity #nonprofit #Redbankn…https://t.co/tPNm1ibXJF",,LinkedIn
58,"70 South Bay Ave. Boston, MA",2022-08-22 12:04:20+00:00,"RT @RosiesPlace: A recent survey by @Gr8BosFoodBank found that #foodinsecurity in Massachusetts during 2021 remained high, with 1.8 MILLION…",['foodinsecurity'],Twitter for iPhone
59,"Baltimore, MD",2022-08-22 12:02:07+00:00,Do you know there are 828 million hungry people in the world? @FAO's interactive story puts this number into context. Read the 'Tale of empty plates': https://t.co/hGNE6aslVs #SOFI2022 #FoodInsecurity,,Hootsuite Inc.
60,"889 Harrison Ave, Boston, MA",2022-08-22 12:01:05+00:00,"A recent survey by @Gr8BosFoodBank found that #foodinsecurity in Massachusetts during 2021 remained high, with 1.8 MILLION ADULTS estimated to have experienced food insecurity. #endhungerhere",['foodinsecurity'],Hootsuite Inc.
61,London,2022-08-22 11:38:14+00:00,"RT @BledStratForum: #BSF2022 | Introducing

🌐 World is in a different place from where it was in 2015 when it committed to ending hunger &amp;…",['BSF2022'],Twitter Web App
62,Brussels,2022-08-22 11:38:05+00:00,"The 🇺🇸 is increasing its commitment to solving the challenge of #FoodInsecurity!

In June, we announced $2.76 billion that will provide lifesaving aid to the most vulnerable and strengthen local systems with increased #agricultural capacity and resilience across the globe 🌽🌍 https://t.co/TEUlQLYwF2",['FoodInsecurity'],Twitter Web App
63,"Guelph, Ontario, Canada",2022-08-22 11:25:42+00:00,"RT @JohnClke: https://t.co/1A4W4C2raN
'Over 50 million people in #EastAfrica will face acute #foodinsecurity this year.' The fact that this…","['EastAfrica', 'foodinsecurity']",Twitter Web App
64,United Kingdom,2022-08-22 11:09:22+00:00,RT @GrowFurther_: #Ethiopia: Half of Tigray region faces 'severe' food shortage via @dwnews #foodinsecurity,"['Ethiopia', 'foodinsecurity']",TweetDeck
65,"Turtle Island, multipluriverse",2022-08-22 11:02:42+00:00,"RT @JohnClke: https://t.co/1A4W4C2raN
'Over 50 million people in #EastAfrica will face acute #foodinsecurity this year.' The fact that this…","['EastAfrica', 'foodinsecurity']",Twitter Web App
66,,2022-08-22 10:50:20+00:00,"RT @JohnClke: https://t.co/1A4W4C2raN
'Over 50 million people in #EastAfrica will face acute #foodinsecurity this year.' The fact that this…","['EastAfrica', 'foodinsecurity']",Twitter for Android
67,"Hamilton, Ontario",2022-08-22 10:20:04+00:00,"RT @JohnClke: https://t.co/1A4W4C2raN
'Over 50 million people in #EastAfrica will face acute #foodinsecurity this year.' The fact that this…","['EastAfrica', 'foodinsecurity']",Twitter Web App
68,"Seattle, WA",2022-08-22 10:10:46+00:00,#Ethiopia: Half of Tigray region faces 'severe' food shortage via @dwnews #foodinsecurity,"['Ethiopia', 'foodinsecurity']",Twitter Web App
69,Toronto,2022-08-22 10:10:39+00:00,"https://t.co/1A4W4C2raN
'Over 50 million people in #EastAfrica will face acute #foodinsecurity this year.' The fact that this vast crisis has not been headline news reflects the racist hierarchy in the value of human life that is applied on a global scale.","['EastAfrica', 'foodinsecurity']",Twitter Web App
70,,2022-08-22 10:05:43+00:00,RT @SueKleve: @MonashWarwick @DrBarons @MonashResearch @MonashNutrition @warwickstats Thanks @MonashWarwick for profiling our @DrBarons res…,,TweetDeck
71,"Melbourne, Victoria",2022-08-22 09:25:22+00:00,@MonashWarwick @DrBarons @MonashResearch @MonashNutrition @warwickstats Thanks @MonashWarwick for profiling our @DrBarons research and education journey into household #foodinsecurity across Australia and the UK. @MonashNutrition,,Twitter for iPhone
72,Lancaster University,2022-08-22 09:21:22+00:00,RT @JFledderjohann1: Excited to share the latest in the @Food_Equity Expert Interview Series! It was my privilege to speak w/@weareraman ab…,,Twitter for Android
73,"Eldoret, Kenya",2022-08-22 09:15:43+00:00,"RT @PlanKenya: When #girls drop out of school due to #foodinsecurity &amp; lack of meals at school, they are more likely to be married off or g…","['girls', 'foodinsecurity']",Twitter for Android
74,,2022-08-22 09:02:48+00:00,".@SueKleve's project with @DrBarons investigates the causes of food insecurity so as to develop a decision support tool for policy development and food insecurity program delivery

Read more: https://t.co/qylrZ9hHmz

#discoverMWA #highereducation #foodpoverty #foodinsecurity https://t.co/OMaLfAmfX1",,Twitter Web App
75,"Vienna, Austria",2022-08-22 08:25:02+00:00,"RT @BledStratForum: #BSF2022 | Introducing

🌐 World is in a different place from where it was in 2015 when it committed to ending hunger &amp;…",['BSF2022'],Twitter for Android
76,"Anthiyur, India",2022-08-22 08:23:42+00:00,"RT @ICRAF: With over 2 billion people experiencing #foodinsecurity, scientists argue that the greater use of #trees is a key solution to ad…","['foodinsecurity', 'trees']",Twitter for Android
77,🌎🌍🌏,2022-08-22 08:04:37+00:00,"Risking sexual exploitation and abuse to get food
https://t.co/hp3fkKqs9V @B_Rohwerder unpicks the key issues relating to #FoodInsecurity and gender-based violence in this @K4D_info blog. #GBV",,Twitter Web App
78,Earth,2022-08-22 07:42:27+00:00,"Some #people face the #prospect of #freezing or #starving this #winter amid the #CostOfLivingCrisis , a #charity has #warned.

#Citizens #Advice #Scotland (CAS) said that soaring #energy #bills are driving ""frightening"" demand for advice around #foodinsecurity. https://t.co/gNQZsRrTa0","['people', 'prospect', 'freezing', 'starving', 'winter', 'CostOfLivingCrisis', 'charity']",Twitter Web App
79,Earth,2022-08-22 07:38:20+00:00,The #World #Food #Programme (WFP) #warned last week that as many as 828 #million #people go to #bed #hungry every #night while the number of those facing #acute #foodinsecurity has soared — from 135 million to 345 #million —,"['World', 'Food', 'Programme', 'warned', 'million', 'people', 'bed', 'hungry']",Twitter Web App
80,Australia,2022-08-22 06:48:57+00:00,"What happens when healthy foods are actually prescribed 𝘢𝘯𝘥 provided for those who need to make a change?

This happens 🚀 ➡️

#foodinsecurity #foodprescription https://t.co/z0htnSyTqo",,Twitter Web App
81,Mumbai,2022-08-22 05:30:00+00:00,This brief by @shoba_suri &amp; @DrSubhasree makes a case for #climate-smart agriculture to combat global #foodinsecurity and nurture #sustainable food systems. https://t.co/Yn7iuoCOXm,['climate'],TweetDeck
82,,2022-08-22 02:59:22+00:00,"RT @GotYourSix: #Foodinsecurity is a prevailing issue for #veterans and their families, especially in these times of inflation. Last year w…","['Foodinsecurity', 'veterans']",Twitter for Android
83,Bharat ,2022-08-22 02:27:25+00:00,"RT @ICRAF: With over 2 billion people experiencing #foodinsecurity, scientists argue that the greater use of #trees is a key solution to ad…","['foodinsecurity', 'trees']",Twitter for Android
84,,2022-08-22 01:42:06+00:00,"Nonprofits like Joy Soup Kitchen have seen an increase in the number of people needing free meals to feed their families. 
#inflation #foodcosts #foodinsecurity #greenville #enc #northcarolina #newsreporter #reporter #journalist #journalism https://t.co/hkJhfiJ8jX",,Twitter for iPhone
85,,2022-08-21 23:20:02+00:00,This is really disappointing after the government signed the #GLobalCompactforMigration. All migrants should enjoy rights particularly those who are helping prevent #foodinsecurity https://t.co/hmWfROkWa0,['GLobalCompactforMigration'],Twitter for iPhone
86,Denmark - Copenhagen North,2022-08-21 23:18:04+00:00,"RT @BledStratForum: #BSF2022 | Introducing

🌐 World is in a different place from where it was in 2015 when it committed to ending hunger &amp;…",['BSF2022'],Twitter Web App
87,"Omaha, Nebraska",2022-08-21 23:04:00+00:00,"Healthy Meals, #HealthyKidsAct (H.R. 8450)
-Expanding Access of #SchoolMeals
-Addressing Child #FoodInsecurity During the Summer
-Supporting #Tribes &amp; Freely Associated States
- Modernizing #WIC &amp; #CACFP
-Strengthening #EvidenceBased #NutritionStandards
https://t.co/QQdLhu0hk4","['HealthyKidsAct', 'SchoolMeals', 'FoodInsecurity']",Sprout Social
88,,2022-08-21 22:53:27+00:00,"it was another beautiful#SundayFundayWithAPurpose as we cont to stay committed to addressing #foodinsecurity; which is a #socialdeterminantsofhealth, as we achieve #healthequity. @Cathy_Trimboli @Jen_Kaye https://t.co/LyzYSmOJe2",['foodinsecurity'],Twitter for Android
89,"Enid, OK 🇺🇸",2022-08-21 22:45:12+00:00,"I ̔will create micro niche adsense websites and start making #money. ️

👉👉https://t.co/TrjxDY7fqk

#thwnd #liberallies #lockherup #pumpact #nbm22 #lfq #bb24 #foodinsecurity https://t.co/6OlX5KksBm","['money', 'thwnd']",test1190
90,,2022-08-21 22:20:14+00:00,RT @FoodShareVC: Worrying about having enough #food for yourself or your family? You're among the 1 in 6 people experiencing #foodinsecurit…,['food'],Twitter for iPhone
91,"Nariman Point, Mumbai, India",2022-08-21 21:30:00+00:00,This brief by @shoba_suri &amp; @DrSubhasree makes a case for #climate-smart agriculture to combat global #foodinsecurity and nurture #sustainable food systems. https://t.co/zQ2DlBpuAc,['climate'],TweetDeck
92,"New York, NY",2022-08-21 21:11:38+00:00,"RT @GotYourSix: #Foodinsecurity is a prevailing issue for #veterans and their families, especially in these times of inflation. Last year w…","['Foodinsecurity', 'veterans']",Twitter for iPhone
93,NYC,2022-08-21 20:55:00+00:00,"#Foodinsecurity is a prevailing issue for #veterans and their families, especially in these times of inflation. Last year we issued a #StandSMART on how Emergency Financial Assistance can help prevent financial distress https://t.co/VWlcLTYoFb","['Foodinsecurity', 'veterans']",Sprout Social
94,Southwind,2022-08-21 20:51:46+00:00,"RT @FoPRR: You can ship beans, flour, milk, pasta, veggies, peanut butter, fruit, formula &amp; more directly to the rez today to help feed #La…",,proxPhoto
95,"Apache Junction, AZ",2022-08-21 20:40:47+00:00,"RT @FoPRR: You can ship beans, flour, milk, pasta, veggies, peanut butter, fruit, formula &amp; more directly to the rez today to help feed #La…",,Twitter for iPad
96,"Eugene, OR",2022-08-21 20:28:17+00:00,"RT @FoPRR: You can ship beans, flour, milk, pasta, veggies, peanut butter, fruit, formula &amp; more directly to the rez today to help feed #La…",,Twitter for Android
97,,2022-08-21 20:26:42+00:00,"You can ship beans, flour, milk, pasta, veggies, peanut butter, fruit, formula &amp; more directly to the rez today to help feed #Lakota families in need. Thx 4 your help spreading the word!

#FoodDesert #FoodInsecurity #FoodBank #KindnessMatters #hunger #poverty #NativeAmerican https://t.co/b0varcQvVh https://t.co/1pqnHSECwz",,Twitter for iPad
98,"California, USA",2022-08-21 20:03:24+00:00,RT @FoodShareVC: Worrying about having enough #food for yourself or your family? You're among the 1 in 6 people experiencing #foodinsecurit…,['food'],Twitter for iPhone
99,My location is the pragmatic middle.,2022-08-21 19:52:46+00:00,"RT @Gr8BosFoodBank: Unfortunately, some seniors are experiencing food insecurity, often choosing between food or paying utilities bills. If…",,Twitter for iPhone
100,"Vienna, Austria",2022-08-21 19:40:43+00:00,"RT @BledStratForum: #BSF2022 | Introducing

🌐 World is in a different place from where it was in 2015 when it committed to ending hunger &amp;…",['BSF2022'],Twitter for iPhone
101,"Camarillo, CA",2022-08-21 19:17:30+00:00,RT @FoodShareVC: Worrying about having enough #food for yourself or your family? You're among the 1 in 6 people experiencing #foodinsecurit…,['food'],Twitter for iPhone
102,"Münster, Germany",2022-08-21 19:10:47+00:00,"""The #FoodCrisis triggered by the #Russia-#Ukraine war highlights acute #FoodInsecurity challenges. A closer look shows that the #problems run far deeper than the current war and that the global food system ...

https://t.co/2PAtJDln11","['FoodCrisis', 'Russia', 'Ukraine', 'FoodInsecurity']",Twitter Web App
103,Earth🌎想当年,2022-08-21 19:06:57+00:00,"RT @ChinneryLouis: Extreme #drought is gripping #Europe, intensifying heat, fuelling fires, reducing crop yields and increasing transport c…","['drought', 'Europe']",Twitter for Android
104,"Calgary, Alberta",2022-08-21 18:49:49+00:00,RT @proofcanada: From our report: #Alberta had highest rate of #FoodInsecurity among provinces at 20% &amp; highest rate of severe food insecur…,"['Alberta', 'FoodInsecurity']",Twitter Web App
105,"Ventura County, CA",2022-08-21 18:01:20+00:00,Worrying about having enough #food for yourself or your family? You're among the 1 in 6 people experiencing #foodinsecurity in #VenturaCounty. Pick up a box or go to https://t.co/NHz8rmQqC8 for a map with ALL the locations offering free food. #WeFeedVC #FoodBank #Hunger https://t.co/MrA1GMIhdK,['food'],Hootsuite Inc.
106,"Memphis, TN",2022-08-21 18:00:37+00:00,"RT @demauricesmith: Great article on my friend, Mark. The work that you, along with @GENYOUthNow and #TasteoftheNFL, continue to do in the…",['TasteoftheNFL'],Twitter for Android
107,"Waianae, HI",2022-08-21 17:56:21+00:00,RT @makeituniversal: The Marketing Diversity Inclusion Steering Committee brought the giving spirit to everyone at Universal with their wee…,,Twitter for Android
108,,2022-08-21 17:55:31+00:00,RT @makeituniversal: The Marketing Diversity Inclusion Steering Committee brought the giving spirit to everyone at Universal with their wee…,,Twitter Web App
